"Fecha","Negocio","Producto","Cantidad","Precio","Región","Tipo_Zona","Población","Temporada"
"08/07/2024","Arias-Gallegos Express","Cuadernos","87","199.47","Tamaulipas","Periurbano","Col. Circunvalación Michoacán de Ocampo","Festiva"
"06/04/2023","Fonseca e Hijos SA","Leche","81","57.76","Zacatecas","Periurbano","Col. Calle Malawi","Baja"
"03/11/2024","Laboratorios Avilés-Delgado & Hijos","Juguetes","17","167.9","Quintana Roo","Urbano","San Ricardo de la Montaña","Festiva"
"15/09/2022","Grupo Alfaro-Leyva SA","Leche","9","72.56","Querétaro","Rural","Rancho Oquendo","Alta"
"06/12/2022","Ávalos, Samaniego y Escamilla & Hijos","Clavos","72","211.2","Colima","Rural","Rancho Elizondo","Baja"
"10/02/2024","Tamez-Roybal SA","Clavos","90","54.45","Baja California Sur","Urbano","San Alejandro de la Montaña","Baja"
"28/02/2025","Laboratorios Ávila-Malave SA","Juguetes","73","120.52","Guerrero","Rural","Rancho Jurado","Festiva"
"10/07/2023","Despacho Serrato y Tapia Express","Leche","52","229.6","Quintana Roo","Urbano","Nueva Chad","Baja"
"10/06/2024","Rael-Archuleta Express","Cuadernos","83","267.55","Nayarit","Periurbano","Col. Continuación Baja California","Festiva"
"23/03/2025","Valencia-Galarza Express","Arroz","83","226.12","Jalisco","Urbano","San Óliver los bajos","Baja"
"30/03/2023","Prieto y Garay S.A. & Hijos","Cuadernos","58","285.47","Colima","Rural","Rancho Velasco","Baja"
"04/02/2023","Industrias Echeverría, Pacheco y Mireles SA","Juguetes","85","128.28","Jalisco","Periurbano","Col. Diagonal Bélgica","Festiva"
"28/08/2023","Montaño y Beltrán e Hijos Express","Juguetes","95","14.19","Oaxaca","Rural","Rancho Morales","Festiva"
"15/04/2022","Pedraza, de la Rosa y Yáñez SA","Arroz","9","390.27","Zacatecas","Rural","Rancho Campos","Baja"
"14/11/2023","Porras-Salinas SA","Pintura","40","69.08","Jalisco","Periurbano","Col. Pasaje Chipre","Festiva"
"22/12/2022","Matos-Iglesias e Hijos SA","Clavos","60","264.13","México","Urbano","Vieja Dinamarca","Baja"
"26/06/2022","Fonseca-Baeza & Hijos","Clavos","96","308.14","Puebla","Periurbano","Col. Avenida Norte Perales","Festiva"
"13/05/2022","Arreola-Borrego Express","Pintura","32","155.57","Coahuila de Zaragoza","Urbano","Vieja Eritrea","Festiva"
"01/06/2023","Baeza-Cabán SA","Leche","54","489.74","Tamaulipas","Urbano","Vieja Venezuela","Festiva"
"26/09/2023","Club Malave, Téllez y Limón & Hijos","Arroz","12","435.97","Quintana Roo","Rural","Rancho Urías","Festiva"
"26/02/2025","Industrias Farías-Toro SA","Clavos","5","305.26","Campeche","Rural","Rancho Véliz","Alta"
"27/09/2024","Proyectos Barela-Laboy SA","Cuadernos","9","211.95","México","Urbano","San Victoria los bajos","Festiva"
"02/05/2023","Benavídez-Rosales S.A. de C.V. & Hijos","Pintura","91","116.61","Jalisco","Rural","Rancho Toledo","Festiva"
"21/10/2023","Proyectos Munguía, Naranjo y Aparicio Express","Leche","89","303.41","Chihuahua","Periurbano","Col. Cerrada Irán","Festiva"
"05/01/2024","Valdés-Páez & Hijos","Juguetes","61","106.04","México","Rural","Rancho Duarte","Alta"
"01/11/2022","Mireles-Naranjo & Hijos","Pintura","98","292.24","Tabasco","Periurbano","Col. Ampliación Yucatán","Festiva"
"30/05/2024","Alva-de León SA","Juguetes","60","211.42","Chihuahua","Periurbano","Col. Circuito Norte León","Baja"
"19/09/2023","Varela, Gamboa y Palomino & Hijos","Leche","93","460.03","Chiapas","Urbano","San Sofía los altos","Alta"
"10/12/2024","Prado e Hijos SA","Juguetes","50","328.17","Aguascalientes","Rural","Rancho Lovato","Baja"
"27/08/2024","Perea, Vera y Preciado SA","Arroz","89","20.48","Querétaro","Urbano","Vieja Vanuatu","Alta"
"11/07/2022","Proyectos Roque-Munguía & Hijos","Clavos","23","65.46","Baja California","Urbano","Nueva Mali","Alta"
"03/07/2024","Corrales-Jurado SA","Cuadernos","57","460.83","Colima","Urbano","San Bruno de la Montaña","Festiva"
"16/03/2024","Guillen y Patiño S. R.L. de C.V. Express","Arroz","51","156.34","Tabasco","Urbano","San Claudio de la Montaña","Festiva"
"14/04/2022","Casas S.C. Express","Cuadernos","80","383.77","Sonora","Periurbano","Col. Ampliación Norte Hinojosa","Alta"
"09/04/2024","Proyectos Tovar-Jaramillo SA","Arroz","90","43.51","Tabasco","Rural","Rancho Hidalgo","Festiva"
"30/10/2023","Salas, Elizondo y Huerta SA","Arroz","31","10.02","Colima","Rural","Rancho Solorzano","Alta"
"27/04/2022","Cardona, Aparicio y Moreno & Hijos","Clavos","86","499.38","Veracruz de Ignacio de la Llave","Rural","Rancho Melgar","Festiva"
"10/12/2022","Benítez y de la Rosa y Asociados & Hijos","Leche","58","402.57","Distrito Federal","Periurbano","Col. Ampliación Dueñas","Alta"
"11/07/2023","Lovato S.C. Express","Leche","4","125.31","Coahuila de Zaragoza","Urbano","San Amelia de la Montaña","Festiva"
"16/07/2022","Despacho Baca, Limón y Cervántez Express","Arroz","38","446.17","Colima","Urbano","San Eugenio de la Montaña","Alta"
"20/03/2025","Laboratorios Aparicio, Alcala y Salgado SA","Juguetes","1","140.95","Veracruz de Ignacio de la Llave","Urbano","Vieja Papua Nueva Guinea","Festiva"
"16/05/2024","Proyectos Aranda y Tafoya SA","Pintura","35","287.08","Baja California Sur","Urbano","Nueva Lesotho","Alta"
"16/02/2025","Marroquín y Rivas y Asociados Express","Cuadernos","6","319.71","San Luis Potosí","Rural","Rancho de la Rosa","Festiva"
"23/04/2022","Corporacin de la Torre y Alvarado & Hijos","Clavos","66","290.94","Guerrero","Periurbano","Col. Calle Jalisco","Festiva"
"23/09/2022","Laboratorios Botello, Jiménez y Padilla & Hijos","Cuadernos","6","335.97","Baja California","Rural","Rancho Galindo","Baja"
"23/12/2022","Corporacin Valencia-Parra Express","Arroz","6","376.14","Guerrero","Urbano","Vieja El Salvador","Festiva"
"22/12/2022","Pizarro, Palomo y Pizarro & Hijos","Juguetes","32","152.69","San Luis Potosí","Periurbano","Col. Diagonal Norte Viera","Festiva"
"09/10/2022","Club Cordero y Sarabia Express","Clavos","31","169.33","Michoacán de Ocampo","Rural","Rancho Urbina","Baja"
"22/02/2023","Despacho Ávalos y Arguello Express","Pintura","50","191.53","Guanajuato","Periurbano","Col. Andador Páez","Baja"
"22/03/2023","Despacho Salcido-López Express","Juguetes","23","199.61","Baja California Sur","Urbano","Vieja Grecia","Festiva"
"09/10/2023","López-Pineda y Asociados Express","Cuadernos","36","115.58","Colima","Periurbano","Col. Circunvalación Coahuila de Zaragoza","Alta"
"11/02/2025","Galarza, Montoya y Granados & Hijos","Leche","19","424.25","Guerrero","Rural","Rancho Zayas","Baja"
"17/09/2023","Aranda, Orosco y Pichardo Express","Arroz","5","126.6","Baja California","Periurbano","Col. Calzada Tabasco","Alta"
"30/03/2023","Proyectos Roldán, Bustamante y Acevedo Express","Clavos","44","323.85","Tlaxcala","Periurbano","Col. Continuación Norte Briones","Festiva"
"14/11/2024","Mercado-Laureano SA","Clavos","79","482.05","Distrito Federal","Urbano","San Luz de la Montaña","Festiva"
"15/08/2023","Gonzales-Madrigal A.C. SA","Cuadernos","8","262.16","Sinaloa","Periurbano","Col. Corredor Portugal","Alta"
"07/11/2023","Corporacin Aragón y Villaseñor SA","Clavos","57","93.59","Nayarit","Periurbano","Col. Boulevard Haití","Festiva"
"23/02/2024","Despacho Montaño, Sierra y Cervántez & Hijos","Pintura","9","169.92","Colima","Rural","Rancho Treviño","Alta"
"19/12/2023","Olivo-Luna Express","Juguetes","14","92.99","Baja California","Rural","Rancho Gastélum","Baja"
"02/05/2023","Mora y Fuentes S.A. SA","Juguetes","76","94.45","Jalisco","Periurbano","Col. Privada Norte Murillo","Festiva"
"18/03/2023","Industrias Avilés y Valdivia & Hijos","Arroz","58","391.68","Chihuahua","Rural","Rancho Acosta","Baja"
"12/02/2023","Maldonado-Esparza Express","Cuadernos","34","301.47","Baja California","Urbano","Vieja Paraguay","Baja"
"11/11/2023","Club Quintero-Alemán & Hijos","Clavos","99","180.75","Durango","Periurbano","Col. Boulevard República Popular Democrática de Corea","Baja"
"07/12/2022","Ceja y Centeno e Hijos Express","Leche","72","163.84","Michoacán de Ocampo","Periurbano","Col. Andador Zacatecas","Festiva"
"21/06/2022","Arteaga-Venegas S.A. & Hijos","Pintura","77","122.92","Yucatán","Urbano","San Diego los bajos","Baja"
"12/11/2024","Zúñiga, Estévez y Gómez SA","Cuadernos","34","387.72","Aguascalientes","Rural","Rancho Casillas","Alta"
"08/05/2023","Aponte S.A. SA","Cuadernos","93","308.96","Quintana Roo","Urbano","San Andrea los bajos","Alta"
"16/04/2023","Barrera, Montez y Godínez Express","Arroz","92","110.46","Hidalgo","Rural","Rancho Vigil","Baja"
"27/10/2023","Camarillo, Lozada y Salinas Express","Leche","88","188.82","Tabasco","Urbano","San Abraham los bajos","Festiva"
"20/05/2023","Corporacin Salazar-Rosado & Hijos","Cuadernos","2","445.73","Tabasco","Urbano","Nueva Irlanda","Baja"
"02/07/2024","Sepúlveda-Jaimes S.C. SA","Clavos","28","334.61","Sinaloa","Urbano","San Julio de la Montaña","Baja"
"11/03/2023","Industrias Terán y Ayala Express","Clavos","66","469.74","Chiapas","Periurbano","Col. Corredor Alfaro","Alta"
"11/08/2024","Proyectos Tapia y Maya Express","Leche","53","485.23","Distrito Federal","Periurbano","Col. Privada Japón","Alta"
"20/11/2023","Pacheco-Laureano SA","Clavos","67","368.61","Baja California","Urbano","San Anel los altos","Festiva"
"06/11/2024","Despacho Girón-Manzanares SA","Pintura","33","350.05","Distrito Federal","Urbano","Nueva España","Festiva"
"26/11/2023","Bernal y Velásquez A.C. SA","Clavos","25","474.63","Morelos","Urbano","San Lorena los altos","Alta"
"02/12/2024","Corporacin Pacheco, Raya y Moya Express","Cuadernos","43","147.86","San Luis Potosí","Periurbano","Col. Periférico Botswana","Alta"
"20/06/2023","Candelaria-Yáñez Express","Cuadernos","82","224.26","México","Urbano","San Estela los bajos","Alta"
"30/08/2023","Guardado S. R.L. de C.V. SA","Leche","93","176.01","Quintana Roo","Rural","Rancho Mondragón","Alta"
"02/12/2022","Hernádez, Ruiz y Arellano & Hijos","Juguetes","5","76.52","Coahuila de Zaragoza","Urbano","Nueva Bangladesh","Festiva"
"06/07/2024","Industrias Casillas, Garrido y Olivares & Hijos","Leche","83","197.09","Durango","Periurbano","Col. Cerrada Burkina Faso","Baja"
"11/09/2024","Olivárez, Tafoya y Baca SA","Cuadernos","38","299.66","Chihuahua","Rural","Rancho Abreu","Festiva"
"15/04/2022","Olivo-Murillo S. R.L. de C.V. Express","Clavos","74","245.26","Quintana Roo","Urbano","Vieja Fiji","Alta"
"03/03/2023","Laboratorios Sevilla-Meza SA","Arroz","92","264.5","Chihuahua","Rural","Rancho Espinosa","Alta"
"30/09/2022","Galindo-Ordóñez S.A. de C.V. SA","Cuadernos","2","476.45","México","Rural","Rancho Carranza","Baja"
"20/02/2024","Grupo Sarabia, Venegas y Valdés Express","Cuadernos","97","34.07","Guanajuato","Periurbano","Col. Ampliación Georgia","Alta"
"07/12/2022","Saldaña y Baca S.C. & Hijos","Juguetes","47","82.92","Aguascalientes","Rural","Rancho Gallegos","Alta"
"21/02/2024","Laboratorios Briseño, Rincón y Samaniego & Hijos","Arroz","80","357.04","Veracruz de Ignacio de la Llave","Periurbano","Col. Diagonal Distrito Federal","Festiva"
"07/03/2025","Leyva-Pizarro S.C. Express","Cuadernos","15","181.58","Sonora","Periurbano","Col. Diagonal Baja California Sur","Baja"
"15/12/2024","Gaitán, Laboy y Holguín Express","Arroz","78","466.66","Guanajuato","Urbano","Vieja Francia","Festiva"
"10/09/2022","Club Bueno y Gaitán Express","Pintura","47","54.07","Durango","Rural","Rancho Pelayo","Festiva"
"27/02/2024","Ocampo y Muñoz S.A. de C.V. Express","Leche","29","211.52","Quintana Roo","Rural","Rancho Haro","Baja"
"04/12/2022","Maya-Rivas e Hijos SA","Leche","80","129.38","Coahuila de Zaragoza","Urbano","San Felipe de la Montaña","Baja"
"22/07/2022","Industrias Rubio, Ulibarri y Lomeli Express","Pintura","12","156.39","Guerrero","Urbano","Nueva Samoa","Festiva"
"18/04/2022","Zamudio y Fajardo S. R.L. de C.V. & Hijos","Leche","83","205.69","Tamaulipas","Rural","Rancho Avilés","Baja"
